perusahaan,Recency,Frequency,Monetary,IF_Label,IF_Score,Is_Outlier,Recency_Scaled,Frequency_Scaled,Monetary_Scaled
PT. Molindo Raya Industrial,81,20,69469829,1,0.1247149864995778,0,0.11142061281337047,0.6129032258064516,0.15613175425163014
PT. Mulia Grand M.,537,1,843600,1,0.1923570297549545,0,0.7465181058495822,0.0,0.0015006552658536308
PT. Nagayana Veniz,138,1,9324000,1,0.2389689799614904,0,0.19080779944289694,0.0,0.020608998984389868
PT. Nusa Raya C,327,3,15845861,1,0.216478598760806,0,0.4540389972144847,0.06451612903225806,0.03530429185648511
PT. Omega Mas,125,2,5272560,1,0.2409120694892357,0,0.17270194986072424,0.03225806451612903,0.011480147977948371
PT. Pabrik Cat T.D.I,685,1,5800000,1,0.1923441996862239,0,0.9526462395543176,0.0,0.01266859484494813
PT. Panca Prima,673,1,1500000,1,0.1840203423316513,0,0.9359331476323121,0.0,0.0029796794648120745
PT. Pandana Makmur,236,10,17167100,1,0.1309911448840566,0,0.32729805013927576,0.29032258064516125,0.03828135531414454
PT. Pascal Corpindo S,686,2,3720000,1,0.1404801560581414,0,0.9540389972144847,0.03225806451612903,0.007981863684324178
PT. Perdamaian Indonesia,634,1,3441000,1,0.2029554962598724,0,0.8816155988857939,0.0,0.0073532108026827915
PT. Perusahaan industri farmasi,152,1,27417000,1,0.2099563528513155,0,0.21030640668523676,0.0,0.06137680037341351
PT. Polmasepa Utara,592,2,3063600,1,0.1610499109664662,0,0.8231197771587744,0.03225806451612903,0.006502839485365734
PT. Prospek Inovatif T,530,1,4329000,1,0.1962926103179236,0,0.7367688022284122,0.0,0.009354084490487634
PT. QL Hasil Laut,1,17,117755250,1,0.1222991040150514,0,0.0,0.5161290322580645,0.26493020963843117
PT. Qingda Maspion PP,4,29,119008998,1,0.0810136444143889,0,0.004178272980501393,0.9032258064516129,0.267755199936109
PT. Rama Emerald,305,1,3302250,1,0.2258205263332416,0,0.42339832869080785,0.0,0.0070405742889632856
PT. Realfod Winta Asia,84,5,9640147,1,0.2134323584965174,0,0.11559888579387186,0.12903225806451613,0.021321352828734954
PT. Rejoso Manis,84,23,59748882,1,0.111264382888556,0,0.11559888579387186,0.7096774193548387,0.13422816520563308
PT. Revolusi Sejuta,699,1,2852550,1,0.1702151474016643,0,0.9721448467966574,0.0,0.006027293999091847
PT. Santos Premium,348,1,5056938,1,0.2180505442111518,0,0.48328690807799446,0.0,0.010994300696065652
PT. Sari Tani,691,1,12000000,1,0.1594078474525984,0,0.9610027855153204,0.0,0.026638658881423374
PT. Sentosa Kalimantan,68,2,10245300,1,0.22558211488095,0,0.09331476323119776,0.03225806451612903,0.02268490543548739
PT. Shiohiyo Mergonoto,360,1,777000,1,0.2054404205060735,0,0.5,0.0,0.0013505897392682678
PT. Sinar Sosro Gunung Slamat,176,1,16317000,1,0.2376517331587168,0,0.2437325905292479,0.0,0.03636587927585299
PT. Sinergy product s,159,2,10833600,1,0.2454913454774268,0,0.22005571030640667,0.03225806451612903,0.024010484253658097
PT. Slamet Riyadi,491,1,4744140,1,0.1893796570675758,0,0.6824512534818942,0.0,0.010289492939536396
PT. Sopanusa Tissu,211,1,21578400,1,0.221289497117403,0,0.2924791086350975,0.0,0.04822105587609668
PT. Stobe Segartan,151,1,3829500,1,0.2383147175345566,0,0.20891364902506962,0.0,0.00822859304109741
PT. Sukanda Djaya,382,3,14672500,1,0.2016560648040629,0,0.5306406685236769,0.06451612903225806,0.03266043245198468
PT. Sumber Prima,616,1,2877120,1,0.2078986749421852,0,0.8565459610027856,0.0,0.0060826560109267175
PT. Sun Paper S,126,9,179151015,1,0.0680733335300036,0,0.17409470752089135,0.25806451612903225,0.403269365867203
PT. Supreme Paper S,76,16,442878797,1,0.0021163752551891,0,0.10445682451253481,0.4838709677419355,0.9975103340506842
PT. Surabaya Mekabox,64,18,56631723,1,0.1477993371068915,0,0.08774373259052924,0.5483870967741935,0.12720446990855644
PT. Surya Parlang,190,1,8719050,1,0.2470029884246393,0,0.26323119777158777,0.0,0.019245903784572818
PT. Surya Zig Zag,117,3,20729800,1,0.2301261566875969,0,0.1615598885793872,0.06451612903225806,0.046308959692007504
PT. Taman Sriwedari,190,1,2752800,1,0.2379574598073037,0,0.26323119777158777,0.0,0.00580253369463404
PT. Tirta Fresindo,84,7,15880200,1,0.1994615194742281,0,0.11559888579387186,0.1935483870967742,0.03538166573212196
