perusahaan,Recency,Frequency,Monetary,IF_Label,IF_Score,Is_Outlier
PT. QL Hasil Laut,1,17,117755250,1,0.12229910401505145,0
PT. Qingda Maspion PP,4,29,119008998,1,0.08101364441438896,0
PT. Rama Emerald,305,1,3302250,1,0.22582052633324162,0
PT. Realfod Winta Asia,84,5,9640147,1,0.21343235849651748,0
PT. Rejoso Manis,84,23,59748882,1,0.111264382888556,0
PT. Revolusi Sejuta,699,1,2852550,1,0.17021514740166432,0
PT. Santos Premium,348,1,5056938,1,0.21805054421115183,0
PT. Sari Tani,691,1,12000000,1,0.1594078474525984,0
PT. Sentosa Kalimantan,68,2,10245300,1,0.22558211488095004,0
PT. Shiohiyo Mergonoto,360,1,777000,1,0.20544042050607353,0
PT. Sinar Sosro Gunung Slamat,176,1,16317000,1,0.2376517331587168,0
PT. Sinergy product s,159,2,10833600,1,0.24549134547742685,0
PT. Slamet Riyadi,491,1,4744140,1,0.1893796570675758,0
PT. Sopanusa Tissu,211,1,21578400,1,0.22128949711740303,0
PT. Stobe Segartan,151,1,3829500,1,0.23831471753455663,0
PT. Sukanda Djaya,382,3,14672500,1,0.2016560648040629,0
PT. Sumber Prima,616,1,2877120,1,0.20789867494218528,0
PT. Sun Paper S,126,9,179151015,1,0.06807333353000367,0
PT. Supreme Paper S,76,16,442878797,1,0.0021163752551891513,0
PT. Surabaya Mekabox,64,18,56631723,1,0.14779933710689153,0
PT. Surya Parlang,190,1,8719050,1,0.24700298842463936,0
PT. Surya Zig Zag,117,3,20729800,1,0.23012615668759695,0
PT. Taman Sriwedari,190,1,2752800,1,0.23795745980730376,0
PT. Tirta Fresindo,84,7,15880200,1,0.19946151947422813,0
PT. Titani Alam Semesta,439,2,13597500,1,0.18228192677513644,0
PT. Toyobo Trias Ecosyar,526,7,25947340,1,0.06814590118765285,0
PT. Tri Jaya Tissue,702,2,25100000,1,0.08542422372376413,0
PT. Trias Toyobo Astria,22,32,174794016,1,0.05375644657678791,0
PT. Tripper Nature,60,4,29660800,1,0.19121781597583298,0
PT. Triteguh Manunggal,263,3,13764000,1,0.22989631993135035,0
PT. Unimos,161,6,7525800,1,0.20537007294854226,0
PT. Unitech Engineering,132,3,6769810,1,0.2388715105050524,0
PT. United Chemicals,134,1,11988000,1,0.24027340014708004,0
PT. United Waru Biscuit,2,7,55408750,1,0.11059606634896796,0
PT. Wiharta Karya,334,1,6542999,1,0.2293442808057763,0
PT. Winaros Kawula,1,17,77279300,1,0.127057019461358,0
